2026-04-22 16:09:28,173 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:28,173 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=36000, chunk_rows=1000
2026-04-22 16:09:28,836 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:28,837 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=37000, chunk_rows=1000
2026-04-22 16:09:29,493 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:29,494 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=38000, chunk_rows=1000
2026-04-22 16:09:30,155 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:30,156 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=39000, chunk_rows=1000
2026-04-22 16:09:30,791 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:30,792 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=40000, chunk_rows=1000
2026-04-22 16:09:31,433 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:31,433 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=41000, chunk_rows=1000
2026-04-22 16:09:32,081 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:32,081 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=42000, chunk_rows=1000
2026-04-22 16:09:32,718 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:32,719 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=43000, chunk_rows=1000
2026-04-22 16:09:33,376 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:33,376 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=44000, chunk_rows=1000
2026-04-22 16:09:34,012 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:34,012 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=45000, chunk_rows=1000
2026-04-22 16:09:34,677 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:34,678 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=46000, chunk_rows=1000
2026-04-22 16:09:35,357 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:35,357 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=47000, chunk_rows=1000
